City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,San Miguel,SV,84.24,overcast clouds,13.4833,-88.1833,Excalibur
12,Hithadhoo,MV,83.08,overcast clouds,-0.6,73.0833,Scoop Guest House
38,San Pedro,PH,81.36,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
45,Ormara,PK,81.54,clear sky,25.2088,64.6357,Kenara Colony house for Rent
60,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
88,Guntakal,IN,84.54,overcast clouds,15.1667,77.3833,Vasavi Pipes Office
96,Guanica,PR,83.21,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
131,Kavaratti,IN,83.17,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
144,Mazamari,PE,80.74,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
145,Rameswaram,IN,83.12,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
153,Lingsugur,IN,82.92,scattered clouds,16.1667,76.5167,Vishnu Tiffin Centre
157,Porbandar,IN,81.66,clear sky,21.6422,69.6093,Lords Inn Porbandar
159,Aswan,EG,84.18,clear sky,24.0934,32.907,Nuba Nile
169,Upata,VE,83.88,overcast clouds,8.0086,-62.3989,Posada Villa Nela
170,Saint-Marc,HT,84.25,few clouds,19.1082,-72.6938,Maguana Hotel
180,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
184,Kudahuvadhoo,MV,82.38,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
189,Mangaluru,IN,81.46,scattered clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
200,Sao Paulo De Olivenca,BR,81.12,broken clouds,-3.3783,-68.8725,
205,Bud,US,84.22,light rain,39.447,-86.1758,Ted McQuinn Trust
207,Pansemal,IN,82.56,clear sky,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
212,Farmington,US,80.15,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
224,Beohari,IN,82.36,clear sky,24.05,81.3833,Shivanshu tiwari
233,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
243,Asyut,EG,81.39,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
247,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
256,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
266,Aripuana,BR,81.52,overcast clouds,-9.1667,-60.6333,
270,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
275,Vijes,CO,84.18,broken clouds,3.6993,-76.4423,"Hotel "" Doña Gaby"""
289,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
296,Jaque,PA,81.68,light rain,7.5175,-78.1703,Aventuras Jaque S.A
307,Manacapuru,BR,82.15,overcast clouds,-3.2997,-60.6206,Novo Hotel
311,Tonantins,BR,81.77,light rain,-2.8731,-67.8022,Hotel Hortensias
