City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Panaba,MX,21.2833,-88.2667,95.2,35,100,16.67,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,35.76,86,100,1.52,overcast clouds
2,Skibotn,NO,69.3913,20.2679,51.03,72,9,14.54,clear sky
3,Jardim,BR,-21.4803,-56.1381,77.7,40,3,2.98,clear sky
4,Ponta Do Sol,PT,32.6667,-17.1,67.71,71,100,4.83,overcast clouds
5,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
6,Vardo,NO,70.3705,31.1107,39.18,93,100,13.8,overcast clouds
7,Ambilobe,MG,-13.2,49.05,69.64,92,7,3.0,clear sky
8,Quetigny,FR,47.3167,5.1167,62.26,55,0,6.91,clear sky
9,Kincardine,GB,56.0667,-3.7167,51.93,78,7,12.62,clear sky
10,San Miguel,SV,13.4833,-88.1833,84.24,74,97,3.78,overcast clouds
11,Pangnirtung,CA,66.1451,-65.7125,26.6,74,75,16.11,broken clouds
12,Hithadhoo,MV,-0.6,73.0833,83.08,65,100,3.74,overcast clouds
13,Busselton,AU,-33.65,115.3333,53.65,85,0,5.21,clear sky
14,Abu Samrah,SY,35.3029,37.1841,70.39,39,0,5.95,clear sky
15,Dhankuta,NP,26.9833,87.3333,63.79,84,41,5.35,scattered clouds
16,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,5.75,light intensity drizzle
17,Hermanus,ZA,-34.4187,19.2345,58.8,87,80,6.89,light rain
18,Ushuaia,AR,-54.8,-68.3,40.66,75,40,36.82,scattered clouds
19,Torbay,CA,47.6666,-52.7314,47.75,57,83,4.0,broken clouds
20,Ostrovnoy,RU,68.0531,39.5131,33.22,96,10,4.09,clear sky
21,Qaanaaq,GL,77.484,-69.3632,20.64,82,50,4.88,scattered clouds
22,Vodnany,CZ,49.1479,14.1751,53.76,87,9,5.32,clear sky
23,Floro,NO,61.5996,5.0328,51.22,81,75,12.66,broken clouds
24,Touros,BR,-5.1989,-35.4608,77.43,83,61,9.28,broken clouds
25,Hambantota,LK,6.1241,81.1185,79.68,85,97,14.23,overcast clouds
26,Caravelas,BR,-17.7125,-39.2481,70.36,89,0,8.93,clear sky
27,Mantua,IT,45.1667,10.7833,74.01,74,4,4.5,clear sky
28,Sechura,PE,-5.5569,-80.8222,75.51,60,32,13.89,scattered clouds
29,Castro,BR,-24.7911,-50.0119,58.28,71,0,4.83,clear sky
30,Brae,GB,60.3964,-1.353,48.27,87,44,19.55,light rain
31,Samfya,ZM,-11.3649,29.5565,62.31,55,30,6.96,scattered clouds
32,Qasigiannguit,GL,68.8193,-51.1922,39.45,71,96,4.85,overcast clouds
33,Taltal,CL,-25.4,-70.4833,64.9,64,50,1.32,scattered clouds
34,Clyde River,CA,70.4692,-68.5914,21.33,89,100,22.12,light snow
35,Paamiut,GL,61.994,-49.6678,31.82,56,15,6.51,few clouds
36,Cozumel,MX,20.5083,-86.9458,87.87,77,75,16.11,broken clouds
37,Saint George,US,37.1041,-113.5841,95.63,11,0,4.0,clear sky
38,San Pedro,PH,14.35,121.0167,81.36,90,83,4.18,broken clouds
39,Dombarovskiy,RU,50.7587,59.5386,52.88,73,95,7.56,overcast clouds
40,Tacoronte,ES,28.4769,-16.4102,63.16,81,40,13.0,scattered clouds
41,At-Bashi,KG,41.1702,75.8106,54.09,48,1,1.61,clear sky
42,Muromtsevo,RU,56.3724,75.2418,62.31,64,99,6.15,overcast clouds
43,Bloomsburg,US,41.0037,-76.4549,75.02,50,79,1.99,broken clouds
44,Harper,LR,4.375,-7.7169,78.28,83,99,7.2,light rain
45,Ormara,PK,25.2088,64.6357,81.54,89,5,9.55,clear sky
46,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,69,68,4.74,broken clouds
47,Mehamn,NO,71.0357,27.8492,51.75,50,0,19.57,clear sky
48,Sarkand,KZ,45.41,79.9186,67.5,51,100,7.27,overcast clouds
49,Sao Sebastiao,BR,-23.76,-45.4097,67.37,84,0,5.17,clear sky
50,Zwedru,LR,6.0667,-8.1281,71.76,98,90,3.02,light rain
51,Lagoa,PT,39.05,-27.9833,61.36,78,0,12.44,clear sky
52,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,10.36,clear sky
53,Muros,ES,42.7762,-9.0603,61.09,74,19,11.86,few clouds
54,La Peca,PE,-5.6111,-78.435,77.83,66,49,4.03,light rain
55,Port Alfred,ZA,-33.5906,26.891,59.18,87,1,1.99,clear sky
56,Bredasdorp,ZA,-34.5322,20.0403,58.71,94,92,2.66,light rain
57,Ribeira Grande,PT,38.5167,-28.7,64.8,77,75,9.22,broken clouds
58,Ilulissat,GL,69.2167,-51.1,39.22,41,40,9.22,scattered clouds
59,Jamestown,US,42.097,-79.2353,76.01,50,0,11.5,clear sky
60,Cayenne,GF,4.9333,-52.3333,84.24,17,0,9.22,clear sky
61,Camacha,PT,33.0833,-16.3333,62.02,77,75,12.66,broken clouds
62,Saldanha,ZA,-33.0117,17.9442,60.46,89,0,5.03,clear sky
63,Dagda,LV,56.0951,27.5372,56.08,82,100,5.1,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,61.12,94,73,1.99,moderate rain
65,Dikson,RU,73.5069,80.5464,17.69,95,70,3.91,broken clouds
66,East London,ZA,-33.0153,27.9116,63.97,71,5,15.93,clear sky
67,Katol,IN,21.2667,78.5833,90.3,24,1,8.55,clear sky
68,Uch,FR,45.3192,-0.9345,56.26,83,11,6.2,few clouds
69,Myre,NO,69.1036,15.9492,54.34,78,100,0.49,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,25.32,63,85,9.64,overcast clouds
71,Ilhabela,BR,-23.7781,-45.3581,68.45,83,0,4.85,clear sky
72,Bonavista,CA,48.6499,-53.1147,44.31,67,50,15.73,scattered clouds
73,Cidreira,BR,-30.1811,-50.2056,66.25,85,8,8.93,clear sky
74,Folldal,NO,62.1325,9.9968,44.33,77,78,2.15,broken clouds
75,Bafilo,TG,9.35,1.2667,69.71,89,77,5.23,moderate rain
76,Luena,AO,-11.7833,19.9167,54.25,42,0,3.83,clear sky
77,Sorland,NO,67.667,12.6934,48.06,87,97,19.86,overcast clouds
78,Marystown,CA,47.1666,-55.1483,52.86,100,4,7.0,clear sky
79,Nanortalik,GL,60.1432,-45.2371,34.39,77,7,15.66,clear sky
80,Fort-Shevchenko,KZ,44.5086,50.263,60.98,70,71,10.96,broken clouds
81,Sehithwa,BW,-20.4667,22.7167,59.77,40,0,3.62,clear sky
82,Vemalwada,IN,18.4667,78.8833,87.94,43,73,9.1,broken clouds
83,Arlit,NE,18.7369,7.3853,89.69,12,58,6.24,broken clouds
84,Itinga,BR,-16.6131,-41.7653,72.3,73,81,7.29,broken clouds
85,Ushtobe,KZ,45.2514,77.9838,70.84,53,100,5.93,overcast clouds
86,Bereda,ES,43.2686,-7.5406,56.41,97,13,4.29,few clouds
87,Araouane,ML,18.9048,-3.5265,86.61,37,92,11.88,overcast clouds
88,Guntakal,IN,15.1667,77.3833,84.54,59,98,12.3,overcast clouds
89,Balkanabat,TM,39.5108,54.3671,67.46,46,1,11.72,clear sky
90,Port Elizabeth,ZA,-33.918,25.5701,62.55,80,3,16.82,clear sky
91,Nouadhibou,MR,20.931,-17.0347,65.46,90,0,26.06,clear sky
92,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,13.8,few clouds
93,Chicama,PE,-7.8447,-79.1469,63.14,68,7,9.93,clear sky
94,Bosobolo,CD,4.1833,19.9,70.65,95,69,1.36,broken clouds
95,Skjervoy,NO,70.0311,20.9714,55.4,63,39,13.78,scattered clouds
96,Guanica,PR,17.9716,-66.908,83.21,80,53,13.27,broken clouds
97,Kattivakkam,IN,13.2167,80.3167,86.09,86,11,12.91,few clouds
98,Maragogi,BR,-9.0122,-35.2225,75.96,89,100,11.25,moderate rain
99,Lipin Bor,RU,60.2622,37.9763,36.18,94,92,7.18,overcast clouds
100,Kasane,BW,-17.8167,25.15,58.53,43,0,2.37,clear sky
101,Adrar,MR,20.5022,-10.0711,92.01,11,4,7.45,clear sky
102,Port Shepstone,ZA,-30.7414,30.455,69.01,79,54,15.41,broken clouds
103,Lodingen,NO,68.414,15.9951,59.14,86,100,3.42,light rain
104,Carutapera,BR,-1.195,-46.02,76.66,93,50,7.11,scattered clouds
105,Kosa,RU,59.9445,54.9977,42.46,96,100,2.89,overcast clouds
106,Kasongo,CD,-4.45,26.6667,67.87,94,100,1.34,overcast clouds
107,Escanaba,US,45.7453,-87.0646,51.51,98,100,17.27,moderate rain
108,Rocha,UY,-34.4833,-54.3333,52.29,93,100,16.75,overcast clouds
109,Sandwick,GB,60.0,-1.25,49.82,81,100,21.85,light rain
110,Souillac,MU,-20.5167,57.5167,68.38,94,40,3.44,scattered clouds
111,Georgetown,MY,5.4112,100.3354,78.73,89,20,2.3,few clouds
112,Daryapur,IN,20.9333,77.3333,92.89,31,16,10.76,few clouds
113,Mezen,RU,65.8522,44.24,40.37,97,99,7.99,overcast clouds
114,Chapais,CA,49.7834,-74.8492,61.18,45,100,5.84,overcast clouds
115,Inta,RU,66.0317,60.1659,55.18,65,100,23.8,overcast clouds
116,Sistranda,NO,63.7256,8.834,48.16,89,100,12.24,overcast clouds
117,Amapa,BR,1.0,-52.0,76.17,98,14,3.38,few clouds
118,Najran,SA,17.4924,44.1277,76.91,18,4,2.1,clear sky
119,Lodja,CD,-3.4833,23.4333,69.17,95,100,1.83,overcast clouds
120,Marsh Harbour,BS,26.5412,-77.0636,78.89,69,56,15.57,broken clouds
121,Aksu,CN,41.1231,80.2644,74.41,31,31,7.02,scattered clouds
122,Victoria,HK,22.2855,114.1577,79.32,93,49,5.99,scattered clouds
123,Yalta,UA,44.5,34.1667,57.15,71,68,3.74,broken clouds
124,Coihaique,CL,-45.5752,-72.0662,36.21,69,20,0.0,few clouds
125,Morros,BR,-9.4467,-46.3003,78.22,42,0,3.2,clear sky
126,Goderich,CA,43.7501,-81.7165,58.05,89,100,15.08,light rain
127,Lagos,NG,6.5833,3.75,77.09,85,37,3.0,scattered clouds
128,George,ZA,-33.963,22.4617,60.53,76,91,4.23,overcast clouds
129,Chuy,UY,-33.6971,-53.4616,59.54,98,100,6.53,overcast clouds
130,Gijon,ES,43.5357,-5.6615,59.0,89,9,2.19,clear sky
131,Kavaratti,IN,10.5669,72.642,83.17,78,54,11.92,broken clouds
132,Chiredzi,ZW,-21.05,31.6667,65.91,53,0,4.54,clear sky
133,Puerto Leguizamo,CO,-0.1934,-74.7819,78.91,92,64,1.99,broken clouds
134,Kingston,JM,17.997,-76.7936,88.25,66,26,7.0,scattered clouds
135,Quelimane,MZ,-17.8786,36.8883,66.63,87,0,1.25,clear sky
