City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-05-24 20:55:51,42.097,-79.2353,292.95,52,100,3.09
1,Staryy Nadym,RU,2022-05-24 20:56:10,65.6118,72.6842,279.73,77,8,3.26
2,Hamilton,US,2022-05-24 20:55:45,39.1834,-84.5333,298.57,58,77,1.79
3,Muyezerskiy,RU,2022-05-24 20:56:11,63.9333,31.65,275.53,79,0,2.12
4,Dhone,IN,2022-05-24 20:56:12,15.4167,77.8833,302.18,61,23,7.32
5,Jacmel,HT,2022-05-24 20:56:13,18.2342,-72.5347,304.06,70,97,3.06
6,Riyadh,SA,2022-05-24 20:54:52,24.6877,46.7219,302.23,16,0,4.19
7,Sao Felix Do Xingu,BR,2022-05-24 20:54:21,-6.6447,-51.995,298.94,76,27,1.63
8,Port Alfred,ZA,2022-05-24 20:56:13,-33.5906,26.891,289.36,91,78,5.08
9,Podgorica,ME,2022-05-24 20:56:14,42.4411,19.2636,295.03,60,0,3.6
10,Hithadhoo,MV,2022-05-24 20:56:14,-0.6,73.0833,301.6,70,100,2.29
11,Thompson,CA,2022-05-24 20:56:15,55.7435,-97.8558,280.24,39,20,4.63
12,Sisimiut,GL,2022-05-24 20:56:15,66.9395,-53.6735,270.03,75,95,3.46
13,Henties Bay,NA,2022-05-24 20:56:16,-22.116,14.2845,289.05,67,0,1.89
14,Aripuana,BR,2022-05-24 20:56:16,-9.1667,-60.6333,301.93,54,37,0.84
15,Goderich,CA,2022-05-24 20:56:17,43.7501,-81.7165,288.33,58,69,4.63
16,Ushuaia,AR,2022-05-24 20:56:17,-54.8,-68.3,275.96,65,20,12.86
17,Inhambane,MZ,2022-05-24 20:56:18,-23.865,35.3833,292.22,92,0,2.94
18,San Cristobal,VE,2022-05-24 20:56:18,7.7669,-72.225,301.25,62,99,2.17
19,Mehriz,IR,2022-05-24 20:56:19,31.5917,54.4318,298.43,8,0,2.31
20,Camana,PE,2022-05-24 20:56:19,-16.6228,-72.7111,291.99,74,46,3.11
21,Eyl,SO,2022-05-24 20:56:20,7.9803,49.8164,300.34,77,6,11.0
22,Dingle,PH,2022-05-24 20:56:20,10.9995,122.6711,298.88,86,38,1.8
23,Novoagansk,RU,2022-05-24 20:56:21,61.9449,76.6625,284.11,89,94,1.47
24,Port-Gentil,GA,2022-05-24 20:56:21,-0.7193,8.7815,297.13,88,20,3.6
25,Abay,KZ,2022-05-24 20:54:50,49.6311,72.8539,280.36,35,31,4.82
26,Dikson,RU,2022-05-24 20:55:01,73.5069,80.5464,270.88,78,100,2.95
27,Kadiri,IN,2022-05-24 20:56:22,14.1167,78.1667,298.21,72,88,3.13
28,Saint-Philippe,RE,2022-05-24 20:52:12,-21.3585,55.7679,294.92,82,38,5.59
29,Ponta Do Sol,PT,2022-05-24 20:56:23,32.6667,-17.1,292.5,67,58,3.41
30,Ilulissat,GL,2022-05-24 20:56:23,69.2167,-51.1,267.21,73,98,4.87
31,Busselton,AU,2022-05-24 20:56:24,-33.65,115.3333,288.96,76,95,2.63
32,Torbay,CA,2022-05-24 20:56:25,47.6666,-52.7314,279.97,72,20,9.39
33,Hermanus,ZA,2022-05-24 20:54:13,-34.4187,19.2345,286.93,84,100,3.97
34,Port Elizabeth,ZA,2022-05-24 20:56:26,-33.918,25.5701,290.98,88,75,3.6
35,Chuy,UY,2022-05-24 20:55:00,-33.6971,-53.4616,289.43,81,100,2.15
36,Babati,TZ,2022-05-24 20:56:27,-4.2167,35.75,291.67,74,100,1.41
37,Bambous Virieux,MU,2022-05-24 20:56:27,-20.3428,57.7575,296.29,83,75,1.54
38,Namibe,AO,2022-05-24 20:54:19,-15.1961,12.1522,292.8,74,0,3.91
39,Maniitsoq,GL,2022-05-24 20:56:28,65.4167,-52.9,270.71,84,100,5.97
40,Georgetown,MY,2022-05-24 20:53:12,5.4112,100.3354,301.11,93,20,1.03
41,Longyearbyen,SJ,2022-05-24 20:56:29,78.2186,15.6401,278.06,70,20,8.23
42,Garissa,KE,2022-05-24 20:56:29,-0.4536,39.6401,298.31,81,84,6.96
43,Gat,IL,2022-05-24 20:53:02,31.61,34.7642,295.59,74,0,0.54
44,Clyde River,CA,2022-05-24 20:57:30,70.4692,-68.5914,267.28,63,75,6.69
45,Sorland,NO,2022-05-24 20:57:30,67.667,12.6934,287.07,78,100,4.41
46,Yangambi,CD,2022-05-24 20:57:31,0.8102,24.4336,293.02,99,100,0.34
47,Bereda,ES,2022-05-24 20:57:31,43.2686,-7.5406,281.31,98,57,0.55
48,Cape Town,ZA,2022-05-24 20:56:36,-33.9258,18.4232,289.32,94,75,2.06
49,Nisia Floresta,BR,2022-05-24 20:53:09,-6.0911,-35.2086,298.36,94,28,2.85
50,Salihorsk,BY,2022-05-24 20:57:32,52.7876,27.5415,284.09,66,1,1.62
51,Campbellton,CA,2022-05-24 20:57:33,48.0075,-66.6727,290.4,37,85,1.53
52,Verkh-Suetka,RU,2022-05-24 20:57:33,53.3,80.05,289.21,47,100,4.06
53,Puerto Baquerizo Moreno,EC,2022-05-24 20:57:34,-0.9,-89.6,299.7,69,40,6.17
54,Farsund,NO,2022-05-24 20:57:34,58.0948,6.8047,284.79,100,89,1.86
55,Bilma,NE,2022-05-24 20:57:35,18.6853,12.9164,304.27,10,1,0.97
56,Jardim,BR,2022-05-24 20:55:27,-21.4803,-56.1381,299.18,42,11,1.29
57,Mar Del Plata,AR,2022-05-24 20:57:35,-38.0023,-57.5575,284.16,90,75,2.06
58,Saint-Prosper,CA,2022-05-24 20:57:36,46.2117,-70.4811,290.21,37,100,1.24
59,Caravelas,BR,2022-05-24 20:57:36,-17.7125,-39.2481,294.84,84,42,2.85
60,West Bay,KY,2022-05-24 20:57:37,19.3667,-81.4167,303.19,66,20,5.14
61,Tasiilaq,GL,2022-05-24 20:57:38,65.6145,-37.6368,273.89,94,100,1.98
62,Saint-Pierre,RE,2022-05-24 20:57:38,-21.3393,55.4781,294.97,64,0,3.6
63,Corner Brook,CA,2022-05-24 20:57:39,48.9667,-57.9484,287.24,44,0,2.93
64,Port Blair,IN,2022-05-24 20:57:39,11.6667,92.75,301.04,81,85,8.24
65,Natal,BR,2022-05-24 20:53:38,-5.795,-35.2094,298.27,94,75,3.09
66,Bredasdorp,ZA,2022-05-24 20:57:40,-34.5322,20.0403,289.05,77,100,2.87
67,Dabakala,CI,2022-05-24 20:57:41,8.3667,-4.4333,296.23,92,98,2.53
68,Rocha,UY,2022-05-24 20:56:28,-34.4833,-54.3333,288.8,84,100,1.67
69,Iqaluit,CA,2022-05-24 20:57:42,63.7506,-68.5145,268.0,92,100,8.23
70,Touros,BR,2022-05-24 20:53:14,-5.1989,-35.4608,297.36,90,6,3.69
71,Bernissart,BE,2022-05-24 20:57:43,50.4746,3.6496,286.1,82,8,1.54
72,Pangnirtung,CA,2022-05-24 20:57:43,66.1451,-65.7125,266.15,58,100,1.54
73,Kruisfontein,ZA,2022-05-24 20:56:22,-34.0033,24.7314,289.75,89,100,5.42
74,Los Llanos De Aridane,ES,2022-05-24 20:57:44,28.6585,-17.9182,292.01,82,100,5.66
75,Korla,CN,2022-05-24 20:57:45,41.7597,86.1469,300.51,17,100,5.6
76,Tarko-Sale,RU,2022-05-24 20:57:46,64.9225,77.785,283.81,56,47,2.18
77,Edenderry,IE,2022-05-24 20:57:46,53.3453,-7.0497,284.38,79,100,4.29
78,Westport,US,2022-05-24 20:54:39,41.1415,-73.3579,294.51,49,26,2.24
79,Soyo,AO,2022-05-24 20:57:47,-6.1349,12.3689,296.67,83,27,3.56
80,Saldanha,ZA,2022-05-24 20:57:48,-33.0117,17.9442,289.18,93,96,0.27
81,Upernavik,GL,2022-05-24 20:57:48,72.7868,-56.1549,267.87,69,100,5.18
82,Okara,PK,2022-05-24 20:57:49,30.8081,73.4458,299.49,52,0,3.68
83,Mahebourg,MU,2022-05-24 20:55:08,-20.4081,57.7,296.31,83,75,1.54
84,Gujar Khan,PK,2022-05-24 20:57:50,33.2558,73.3026,297.94,50,0,3.82
85,Arraial Do Cabo,BR,2022-05-24 20:57:50,-22.9661,-42.0278,296.13,68,75,6.17
86,Stromness,GB,2022-05-24 20:58:51,58.965,-3.296,281.13,78,22,3.92
87,Chapais,CA,2022-05-24 20:58:52,49.7834,-74.8492,289.03,35,81,6.31
88,Cidreira,BR,2022-05-24 20:56:55,-30.1811,-50.2056,291.2,82,9,2.87
89,Grand Gaube,MU,2022-05-24 20:58:52,-20.0064,57.6608,296.37,77,2,1.34
90,Qaanaaq,GL,2022-05-24 20:58:53,77.484,-69.3632,271.1,79,70,0.31
91,Ostersund,SE,2022-05-24 20:58:53,63.1792,14.6357,285.16,54,98,7.2
92,Bara,NG,2022-05-24 20:55:44,10.3744,10.7288,303.79,40,1,3.04
93,Shakiso,ET,2022-05-24 20:58:54,5.75,38.9167,287.59,97,74,0.91
94,Sept-Iles,CA,2022-05-24 20:54:01,50.2001,-66.3821,288.44,55,20,8.23
95,Sambava,MG,2022-05-24 20:58:55,-14.2667,50.1667,294.19,90,13,3.36
96,Taoudenni,ML,2022-05-24 20:58:55,22.6783,-3.9836,310.16,7,0,4.3
97,Vestmannaeyjar,IS,2022-05-24 20:58:56,63.4427,-20.2734,280.04,87,100,2.85
98,Saint-Augustin,CA,2022-05-24 20:58:56,51.226,-58.6502,283.03,52,89,7.67
99,Hlobyne,UA,2022-05-24 20:58:57,49.3878,33.2596,283.78,73,49,2.49
100,Sao Geraldo Do Araguaia,BR,2022-05-24 20:58:57,-6.4006,-48.555,299.55,73,100,0.94
101,Sao Lourenco Do Sul,BR,2022-05-24 20:58:58,-31.3653,-51.9783,291.39,79,58,2.67
102,Puerto Madryn,AR,2022-05-24 20:55:49,-42.7692,-65.0385,282.51,33,78,7.66
103,Maputo,MZ,2022-05-24 20:58:59,-25.9653,32.5892,292.72,92,0,1.51
104,Kholmskaya,RU,2022-05-24 20:58:59,44.846,38.389,282.11,89,29,2.41
105,Saint George,US,2022-05-24 20:59:00,37.1041,-113.5841,303.59,10,0,1.79
106,Khash,IR,2022-05-24 20:55:20,28.2211,61.2158,298.58,15,0,2.01
107,Tabou,CI,2022-05-24 20:59:00,4.423,-7.3528,298.01,85,100,2.72
